1001 Teilenummer;;;;;;;
1002 Teilebezeichnung;Kolbenstange_V5;;Kolbenstange_V5;;Kolbenstange_V5;;
2002 Merkmalbezeichnung;Koaxalit�t;;Durchmesser nach Gewinde;;L�nge;;
2101 Nennma�;0,0000;;0,0000;;163,6000;;
2104 Toleranzwert;0;;0;;0;;
2110 Untere Spezifikationsgrenze;0,0000;;-0,0180;;163,4500;;
2111 Obere Spezifikationsgrenze;50,0000;;0,0180;;163,7500;;
Messwerte;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;
;204103;71,6;204103;-0,007;204103;163,707;
;204504;21,4;204504;0,004;204504;163,658;
;204501;43;204501;0,0085;204501;163,669;
;204403;16,5;204403;-0,0065;204403;163,663;
;204401;40;204401;-0,0055;204401;163,66;
;204303;46,6;204303;-0,0065;204303;163,732;
;204301;46;204301;-0,006;204301;163,666;
;204203;13,1;204203;-0,0035;204203;163,668;
;204102;63,9;204102;-0,0015;204102;163,739;
;204201;16;204201;-0,0035;204201;163,671;
;203402;55,3;203402;-0,0095;203402;163,665;
;203304;17,1;203304;-0,007;203304;163,683;
;203504;49,7;203504;-0,01;203504;163,66;
;203404;67,7;203404;-0,007;203404;163,695;
;204101;49,8;204101;-0,0025;204101;163,674;
;203502;8,75;203502;-0,0105;203502;163,665;
;203102;65;203102;-0,0125;203102;163,668;
;203104;68,6;203104;-0,0105;203104;163,666;
;203202;28,2;203202;-0,009;203202;163,688;
;203204;39,1;203204;-0,0115;203204;163,669;
;203302;38,9;203302;-0,0055;203302;163,668;
;203501;3,89;203501;-0,0055;203501;163,673;
;203401;45,6;203401;-0,006;203401;163,694;
;203303;23,9;203303;-0,0045;203303;163,678;
;203403;63;203403;-0,0075;203403;163,683;
;203602;31,9;203602;-0,0105;203602;163,66;
;204003;38,4;204003;-0,01;204003;163,691;
;204001;23,6;204001;-0,003;204001;163,671;
;203903;42,2;203903;-0,006;203903;163,713;
;203901;25,9;203901;-0,003;203901;163,681;
;203801;39,5;203801;-0,0075;203801;163,674;
;203803;22,2;203803;-0,01;203803;163,666;
;203604;37,4;203604;-0,0095;203604;163,668;
;203702;48,8;203702;-0,0035;203702;163,684;
;204002;11,8;204002;-0,002;204002;163,678;
;203904;31,2;203904;-0,0055;203904;163,672;
;203902;20;203902;-0,005;203902;163,68;
;203804;27,3;203804;-0,009;203804;163,69;
;203802;18,7;203802;-0,0115;203802;163,679;
;203704;35,9;203704;-0,0055;203704;163,671;
;203703;37,2;203703;-0,005;203703;163,674;
;203701;38,5;203701;-0,007;203701;163,667;
;203603;11,3;203603;-0,005;203603;163,664;
;203003;49,9;203003;-0,006;203003;163,698;
;203001;49,6;203001;-0,004;203001;163,676;
;202903;13,7;202903;-0,0075;202903;163,68;
;202901;25,8;202901;-0,0065;202901;163,673;
;202803;61;202803;-0,0025;202803;163,678;
;203301;24,4;203301;-0,0085;203301;163,693;
;202801;45,2;202801;-0,006;202801;163,493;
;203601;60;203601;-0,0045;203601;163,665;
;203103;57,4;203103;-0,0095;203103;163,672;
;203004;48,5;203004;-0,0075;203004;163,738;
;203002;50,6;203002;-0,01;203002;163,688;
;202902;40,6;202902;-0,007;202902;163,699;
;202804;49;202804;-0,011;202804;163,697;
;202703;43,8;202703;0,0015;202703;163,67;
;202702;38,2;202702;0,005;202702;163,749;
;202701;42,1;202701;0,0065;202701;163,693;
;202604;43,5;202604;-0,001;202604;163,684;
;202603;2,96;202603;-0,0005;202603;163,729;
;202602;8,22;202602;-0,0025;202602;163,661;
;202601;13,4;202601;-0,002;202601;163,694;
;203101;66,8;203101;-0,0115;203101;163,691;
;203503;17,2;203503;-0,007;203503;163,683;
;202504;18,3;202504;-0,003;202504;163,743;
;202503;18,9;202503;-0,0025;202503;163,656;
;202501;12,1;202501;0;202501;163,669;
;202304;35,3;202304;-0,006;202304;163,663;
;202401;43,7;202401;-0,0045;202401;163,67;
;202303;39,9;202303;-0,0055;202303;163,669;
;202402;42,9;202402;-0,008;202402;163,656;
;202301;39;202301;-0,002;202301;163,725;
;202302;65,1;202302;-0,0065;202302;163,661;
;202403;17,3;202403;-0,0055;202403;163,671;
;202404;18,9;202404;-0,0075;202404;163,661;
;202104;35,6;202104;-0,0075;202104;163,743;
;202201;4,94;202201;-0,0025;202201;163,667;
;202204;29,3;202204;-0,006;202204;163,699;
;202202;29,4;202202;-0,008;202202;163,667;
;202103;47,8;202103;-0,003;202103;163,739;
;202203;29,9;202203;-0,0065;202203;163,703;
;202102;23,4;202102;-0,005;202102;163,672;
;201903;40,2;201903;-0,006;201903;163,662;
;202003;48,6;202003;-0,004;202003;163,692;
;202002;25,1;202002;-0,0065;202002;163,672;
;201904;16,4;201904;-0,0075;201904;163,71;
;202001;41,9;202001;-0,0085;202001;163,706;
;201902;41;201902;-0,0075;201902;163,669;
