part_id;coaxiality;diameter;length
224603;42.6;-0.016;163.669
224604;36.7;0.0055;163.708
224701;13;-0.001;163.669
224702;28.7;-0.0005;163.671
224703;30;-0.013;163.686
224704;44.6;-0.004;163.674
224801;41;-0.0005;163.655
224803;37;-0.0035;163.668
224804;47.3;0.009;163.663
224902;38;-0.0125;163.663
224903;19.2;-0.0055;163.681
224904;15.5;-0.0065;163.668
225001;18.9;-0.0055;163.69
225002;12.5;0.0015;163.667
225003;7.41;0.008;163.691
225004;27.9;0.003;163.722
